id,event,price,pricePerSquareFoot,city,state,zipcode,parking,homeType,county
91770-54948717,Listed for sale,899000,400,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
91770-20681177,Listed for sale,488990,534,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
91755-20665151,Listed for sale,725000,448,Monterey Park,CA,91755,1,SINGLE_FAMILY,Los Angeles County
91755-20663380,Listed for sale,595000,529,Monterey Park,CA,91755,1,CONDO,Los Angeles County
91770-20725110,Listed for sale,750000,596,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
90640-20674037,Listed for sale,539633,376,Montebello,CA,90640,1,CONDO,Los Angeles County
91755-20675410,Listed for sale,968000,577,Monterey Park,CA,91755,1,SINGLE_FAMILY,Los Angeles County
90640-20686360,Listed for sale,1095000,448,Montebello,CA,90640,1,SINGLE_FAMILY,Los Angeles County
91731-21613719,Listed for sale,478000,407,El Monte,CA,91731,1,CONDO,Los Angeles County
91770-20725892,Listed for sale,758000,547,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
91731-21613510,Listed for sale,698000,430,El Monte,CA,91731,1,MULTI_FAMILY,Los Angeles County
91770-20682826,Listed for sale,1250000,558,Rosemead,CA,91770,1,MULTI_FAMILY,Los Angeles County
91776-20718814,Listed for sale,709000,462,San Gabriel,CA,91776,1,CONDO,Los Angeles County
91731-21613735,Listed for sale,689000,375,El Monte,CA,91731,1,SINGLE_FAMILY,Los Angeles County
91776-20724719,Listed for sale,756000,486,San Gabriel,CA,91776,1,TOWNHOUSE,Los Angeles County
91770-20681002,Listed for sale,799000,334,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
91755-20664180,Listed for sale,688000,465,Monterey Park,CA,91755,1,TOWNHOUSE,Los Angeles County
91770-20680609,Listed for sale,828000,514,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
90640-20686336,Listed for sale,899990,588,Montebello,CA,90640,1,SINGLE_FAMILY,Los Angeles County
91770-20679296,Listed for sale,980000,358,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
90640-2069743319,Listed for sale,570000,438,Montebello,CA,90640,1,TOWNHOUSE,Los Angeles County
90640-21083973,Listed for sale,769000,497,Montebello,CA,90640,1,SINGLE_FAMILY,Los Angeles County
91770-2069773782,Listed for sale,980000,444,Rosemead,CA,91770,1,MULTI_FAMILY,Los Angeles County
91755-20675719,Listed for sale,800000,558,Monterey Park,CA,91755,1,SINGLE_FAMILY,Los Angeles County
91755-20664399,Listed for sale,670000,396,Monterey Park,CA,91755,1,TOWNHOUSE,Los Angeles County
91733-2070191446,Listed for sale,1500000,312,South El Monte,CA,91733,1,MULTI_FAMILY,Los Angeles County
91770-20682571,Listed for sale,1380000,830,Rosemead,CA,91770,1,SINGLE_FAMILY,Los Angeles County
